task_uuid,source_file_name,car_file_url,car_file_size,miner,deal_uuid,start_epoch,piece_cid,payload_cid
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01337533,bafyreie2eczw3hm5dmwszda27bxdj6aq4jamuik2ubk4mwxhchhgrr7f6a,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01222595,bafyreidi535mpv2dlvhwvh47bwec5tsatxj6pmpebbd3crri7tuemcnrsi,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f08399,bafyreifhlz6b6t5mmdfpx43wbmzjwhhy7mcvrcv2uycjkw6u2tsyupvaoa,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f0240185,bafyreib524jy6k5sb3vxa3fmuutto424l252spe7r6kydt53zddfqhtbpu,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01888808,bafyreicxuw7ch7uv3o4s7ytwm44r7e2xcxtnh6vqzbgp3tyawcqx4s35ka,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01691327,bafyreig2fmjskrtekviw7cziktwxc72qjjrfg63gv2t2iq4t2bazluhpoq,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f010088,NULL,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f0717969,bafyreiauxg2mijrqbbikbswukxfma22aq3ma66ijvql32dkbmtkv2idkc4,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f0466405,bafyreibtgtenqhtdlgqf2hfizoulsyulstzoby426npq3bowbzvnafl2a4,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f0143858,bafyreieqnopr7mntqreoly5xbymjfn4rc5hulkt4zc4bgwdxdlyx2qmo7e,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01907556,bafyreidipqiusxtz35p6pkdthrthsck55j7frhxfuoivijnckiemcap3ly,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f02301,bafyreibvxoi57muzrdxcn3vvpgyxpc524vcets43r3rx2cfk5ldxmmc5ie,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01390330,NULL,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmeLgetwK6AyBKGVXG2km4F83rg5FT7BJ4sUqas4S9SsHm,34091302912,f01398391,bafyreicw23ifuomsxhbx5tglhqhar6rv2fgt7p3i3d26ydn4htlpkmjxy4,2852593,baga6ea4seaqkqgqaopmjvxj52vgzedqr2javt73myieetx3jgdx7i525qakamei,QmNvmWxNG3Bd63wDkvW4HfayTgYny3uU95CteF3p2c19Cd
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f02301,bafyreiey4zb5p4uuxwiitolkgkkt7ej5ays5hurk25rwmfks4ou4lfaovq,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01337533,bafyreia3re5f754k7wsfogvglg5dffyim6zky2nhawbx2r5extagewhxli,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01163272,bafyreievltwhxcyirxif2ie6dxqa5zgsozumt2utdoslvcuyuvcvsztluy,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f03223,bafyreibikas6civpmvpyuemvfjenicypci2hz4x4ove2rkhfd6oixej2ja,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01222595,bafyreifqcydfp35weep32k2pm4wbuzisveysgiloqcwmkuvcpiw7hehzja,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f0717969,bafyreifgfntxq6kyklfn4na2ghnye7xq4ftdcmypxfxlxypywgwkzlquxq,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01390330,NULL,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f010088,bafyreibjo4ooqs7clbnldq2mxaj63kxqwpnklkmamhxky4q7cnwjyehn6q,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01691327,bafyreie54caa6yty6ukrizec6eh26gkxkpdzar3hfl2lj7ordxclnjocva,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f0466405,bafyreihuyszfbz5p2gtmmcfywmz7idod23h33lcdvf44cna7is7olqu4lq,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01888808,bafyreieanj35idbsb4nivojyxxhcm3cobtsnr6jqur7seobafzsvlb2zca,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f08399,bafyreihbkbudfzrxseb24cqks3eupnbdyzny4gu2gzd7rorp2i6kb4op6a,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f0137168,bafyreifq6x4dhzzt74lu5kxhhtecwr5f7hoi7j36e45ywca6bfccg6f5um,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01907556,bafyreiektpal7lvyngejsaplze6kqzj4xkjg4kyn7xqy22zviioweoeb2u,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQhqN6zqiCwrwMjhDJL8rk9THfpHVsebZkFZKKa3A226k,34091302912,f01398391,bafyreic7kgneqt4qhwsc2yacq46iv7phh6nhnaaahkjw6regnlwzeec7hm,2852593,baga6ea4seaqflkxtp5heibwxqjbp54u3qid4t3rwhz2ncpcdp7rvglxilvlqsay,QmXD27Up6FP2FAXtZkLWjUBdtmuTAfGSNWgxusuEN1WfHk
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f0717969,bafyreiee6x67k34kkb4z5drrjkxloujkitxwcf4ylgz6uein63x3ldz3yi,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f0466405,bafyreibl6q3l36cgqrw6jnfqivlpnn35kjypdf7jdg4qrghqyddd5gqkku,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01390330,NULL,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01907556,bafyreihg54fayrwblctcsmzttaeoqjsjvk242tfkehjznsiib34zqqwznu,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01337533,bafyreia2cmfovwgyowqdapww3g4hy3ybrxnfpdd56thydskrfer5xqdp3i,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01888808,bafyreif7vykj42ipkzooxkqtcbhqejt7wvojq3chstteole54nx5et4zpi,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f0137168,bafyreigzjiacr5plocl427c4xnhauarx4g4nimnfo7caqhtbe35coxb7c4,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f03223,bafyreig2qx4cu7deicbjgfegky4af4vb2hycozqhswfgzmri2eh74plgei,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01222595,bafyreid4m5dpvh735oqzdsyn72yh67tlw4xnbvyni3akyh3hznzm6s7d5u,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01225882,bafyreigji6lswuvj3kceredunzotgjqyohqsfkzp5gmv2r546d56x76qhq,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01163272,bafyreihgv7ax2inzapz6y73nkwmkdn6ciqvdhoknnekbic6y75zbvedkfa,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f08399,bafyreieicm2cob42vsgxtgiahnyaztsjglvdam2gtqmnfyuczx5va2pkya,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f0240185,bafyreiddt6nk5jyj3rbuk7pshsqjxviblfluzwwe2opppq6szbzcoi66jm,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmQsAoTNECEdE2hUq3AScgqTxkzsA8CRX1vY6Xt2gK5F6S,34091302912,f01691327,bafyreie4xok3spqrge6h5q7g3ust6ibx7avbvutwyx7svxt67moh2v5hk4,2852593,baga6ea4seaqmbsv34myfmomzogzwdmasdl2ezwfrsjwhzjtmiyuwttjtfcw24cy,QmWEwh7rnM5WzGTCDdwfRMtFAJiRUGernYGgWGBBbADhy2
