Uuid,SourceFileName,SourceFilePath,SourceFileMd5,SourceFileSize,CarFileName,CarFilePath,CarFileMd5,CarFileUrl,CarFileSize,PayloadCid,PieceCid,SourceId,Deals/0/DealCid,Deals/0/MinerFid,Deals/0/StartEpoch,Deals/0/Cost,Deals/1/DealCid,Deals/1/MinerFid,Deals/1/StartEpoch,Deals/1/Cost,Deals/2/DealCid,Deals/2/MinerFid,Deals/2/StartEpoch,Deals/2/Cost,Deals/3/DealCid,Deals/3/MinerFid,Deals/3/StartEpoch,Deals/3/Cost,Deals/4/DealCid,Deals/4/MinerFid,Deals/4/StartEpoch,Deals/4/Cost,Deals/5/DealCid,Deals/5/MinerFid,Deals/5/StartEpoch,Deals/5/Cost,Deals/6/DealCid,Deals/6/MinerFid,Deals/6/StartEpoch,Deals/6/Cost,Deals/7/DealCid,Deals/7/MinerFid,Deals/7/StartEpoch,Deals/7/Cost,Deals/8/DealCid,Deals/8/MinerFid,Deals/8/StartEpoch,Deals/8/Cost,Deals/9/DealCid,Deals/9/MinerFid,Deals/9/StartEpoch,Deals/9/Cost,Deals/10/DealCid,Deals/10/MinerFid,Deals/10/StartEpoch,Deals/10/Cost,Deals/11/DealCid,Deals/11/MinerFid,Deals/11/StartEpoch,Deals/11/Cost
e808c520-03b0-41fa-b3b9-1de6bc6aad4b,fil-test010,fil-test010,,17180886010,QmQFFpc3C2QWHxd4mGnmnxmwfeN52fyr4KR3mzEfGVq2j5.car,QmQFFpc3C2QWHxd4mGnmnxmwfeN52fyr4KR3mzEfGVq2j5.car,,https://download.fogmetalabs.com/ipfs/Qmc7Y5Xq5cFg7drjcDd17TrAkukwr63Z6e5ob6Gs3e38HD,34091302912,QmQFFpc3C2QWHxd4mGnmnxmwfeN52fyr4KR3mzEfGVq2j5,baga6ea4seaqpqe3tszvcr7gbeec6x2z3gwzmjb6rzwurvqhbgcmdb2rvmwmtsna,2,bafyreigtlirdou6gm4yaseydd7z77e6nh3qrasqe3ixwlqbe4m2auzx5g4,f01163272,2914722,,bafyreidsqvuygd6bnadsmcjchonpbnzds33ckkir7iqiccl3nccx33obne,f01337533,2914722,,bafyreigquxnbjy2mup5s4bufgu6yc2syrsapdbbauj55ngcc4n2tqkxxj4,f0137168,2914722,,bafyreigmya5vpxmrpv4gksmgwdl5noxphnqqkqs63dk7zkswiyk4e2pxxe,f0143858,2914722,,bafyreiduaboe3nyzykyhyxnd7ph3ep7miz66hhltknuysirdveycnn2ioq,f01862564,2914722,,bafyreickcqyv7rsizbocznn4qke3ysbhmwtlz77lgbmpack2veukxxvkf4,f02032191,2914722,,bafyreigv2c3xgn22i3tqg3h6o6w6oyn44xlazc2p2slujn3pbyykaoi2fy,f02301,2914722,,bafyreiegbzsmfosug64jqf6wu7xjbjqeidqx2u7acbyufw4bjs3cn7l4di,f0240185,2914722,,bafyreih2a26pl246yqv62iff46cscyacs23e5mdftdlwwzrxtod55s2ehy,f03223,2914722,,bafyreihhhd2takyokllnocdivac3erv4duo3pto22sfkxjet2dzee7z7ke,f0717969,2914722,,,,,,,,,
7fe4d066-737b-4173-8ade-954f6b2a4f0d,fil-test010,fil-test010,,17180886010,QmcfvPB4XWQ22ce135r1xyaR2RipqUoAfLRQXRqJS11AFZ.car,QmcfvPB4XWQ22ce135r1xyaR2RipqUoAfLRQXRqJS11AFZ.car,,https://download.fogmetalabs.com/ipfs/QmX3QL7LxT99E9fir3Cydw6gKzKKbSGQq9DksAMMvcjXPY,34091302912,QmcfvPB4XWQ22ce135r1xyaR2RipqUoAfLRQXRqJS11AFZ,baga6ea4seaqi3cr4xl2zdnl465laqhtgrw6admlmmmltm77sywoxuzysxxqeumq,2,bafyreie27qjcrgzfe3ftslcai7ntchiopgt3524ynmvr3sgbtbqptmj2gi,f01163272,2914722,,bafyreifdo7c3xsisthu5tmlfykdkoyf2wsbg4d4zhiehzur3qg3rnw32we,f01337533,2914722,,bafyreidwj34agwsji3bexmgnjhoaurnqva42uwannilnmzokic3mjctq5m,f0137168,2914722,,bafyreiclyq6wniqpvzphveveuimmpa6t5ewtrn2nvykzpgkj65wxgsj2ei,f01862564,2914722,,bafyreieh5hb3mwkbryeo46pgw5kxs6ad2cqzgellizcucsjav5gau7stly,f01862564,2914721,,bafyreiabub4oyqic75x63tihtsx2l4yv2xjhnpuwirdghkvdbibj5kxpgq,f02032191,2914722,,bafyreie7jwyhofkaoccodpvjirjlovodl6gydlhybcxss7xdgh37cyolji,f02301,2914722,,bafyreif7yvzith3omvaoxosvauf2l6ypnmpn2dv2meyev6mgbiq2qiotxa,f0240185,2914722,,bafyreiazkmpvviekh2xjfqpdgqa55p6ka2cv7ppjmlxfbletosmnxu3rwm,f03223,2914722,,bafyreih4gsvr2uzgi77qsllwtocklmda5c3w3i4ist2ofpbattkyhlycbi,f0717969,2914722,,,,,,,,,
3c520358-a48c-48de-b5da-144d05aa7a50,fil-test010,fil-test010,,17180886010,QmYAKndRSF6nFMUJ2JRqiXSbB3iJ4niF1tSCecytwqx7Fo.car,QmYAKndRSF6nFMUJ2JRqiXSbB3iJ4niF1tSCecytwqx7Fo.car,,https://download.fogmetalabs.com/ipfs/QmWRqLtfmPr2ZmJfEbmKkDbk8La58bfquydEiNZtcx7nUj,34091302912,QmYAKndRSF6nFMUJ2JRqiXSbB3iJ4niF1tSCecytwqx7Fo,baga6ea4seaqpvqiq5s6pebqsn7wigiujndfvquh5mikxnz5xvhrg7scbmh55mdi,2,bafyreigg5ctel3thvvmnj4jp3i2y2g7nuscdwud3kg57ar3rtylf7xln44,f01163272,2914722,,bafyreib52l4nrj4dxv3zix4gakokn26iprftrydtqwoyhi6sxg46n5sn3q,f01337533,2914722,,bafyreibgvrixhcpewujde642ixmhpys2uo7zrgi5tp3vb5ugoboz6zrtxy,f0137168,2914722,,bafyreiely3nho6znokicxyagmmaohk3bmob2t5whkwmvo6yam2q7d5yqii,f0143858,2914722,,bafyreickrdh3papduozhu37hcrtwgwkenuallw335acs2y47lyxsyzeu74,f01861488,2914722,,bafyreiffat6zijkn7obj45mbnzh3c2p2j36btzgujq5skm2qvcpsliaob4,f01862564,2914721,,bafyreihjyp6fzy5uvnij37i5q5nop7jq3eez3ws5z7woaknfddowkbbexe,f01862564,2914722,,bafyreieuwqftuq7eamlwvocywbfxch6aagxdmqbhsqdn4jz3q7xnl23x5a,f02032191,2914722,,bafyreihtd3d6t7qrvfptqk2y3yqt63alfkjxhudqn3hra3aqdhdexbu32a,f02301,2914722,,bafyreihxis5jmstm7744vuqdqcii4qdpffasr25h2aalaxp4urg6gdqsu4,f0240185,2914722,,bafyreievlpzshub67eevyue4cwf6nybqzwoqs76b225abmosrq3j6t7jh4,f03223,2914722,,bafyreicgq4hccd5uj7pdrivyb233pdtk6hb3db5ybiw5yafjzwqd6gzpdq,f0717969,2914722,
1258686f-5fc1-4759-8d15-714f62efe467,fil-test010,fil-test010,,17180886010,QmZNPUdWVBy3VuLJsCC1DQDLPsENkNpCsKxc928TaEhvb5.car,QmZNPUdWVBy3VuLJsCC1DQDLPsENkNpCsKxc928TaEhvb5.car,,https://download.fogmetalabs.com/ipfs/QmVmJJSumASky5LA4WcQKe5iTvSHpwGq1CQwsMjvUTsQ5g,34091302912,QmZNPUdWVBy3VuLJsCC1DQDLPsENkNpCsKxc928TaEhvb5,baga6ea4seaqhmzr7w5ch6s7k4i25rkv6hfe5z73ujvdhggtiajicf2ltggdygdy,2,bafyreiflaoz2z3rgdewu6c3fo5hjd5v2xtjank4ejmesyndtugbv3tzwyi,f01163272,2914722,,bafyreida4g5obttjjtwqrhucdjrypzkwimp33rlh3bmfe7qzagsjrscemq,f01337533,2914722,,bafyreicx6qxhibivmyqcldbuag3y6c52t6ri6mbxx3qufh7cwgj57kcjru,f0137168,2914722,,bafyreibzm7ofvrepv5ibvyy35t7l32fqdjzlupc7kpmbzziz4nbdtfztd4,f0143858,2914722,,bafyreigdvcithux32qad5ni74ujdh7nahaphsk36otoe6gnpeblfrwgjsq,f01861488,2914722,,bafyreid33eqecmajqn4khsvcrohxhtypgx3op4zb3yvfaf72qufk7bntcm,f01862564,2914722,,bafyreif4jtizzrhnfqzvjellvu3tlvamklxfbe3vpgg6nwpgbfodfyk5su,f02032191,2914722,,bafyreifie5zfw5igtiitayfpozquexdo7ohvxmvcz4nkt4alspclktwx2a,f02301,2914722,,bafyreigqziy7kppfrj6xuiq7grx3nfayk4cz5pieczuk3ciuwd5jyzcqbi,f0240185,2914722,,bafyreig6p7chvons2yebxza5rxnpmzmc4sq2xjgp33ldp7d7f74zhknek4,f0717969,2914722,,,,,,,,,
ed04c817-45a2-4bd6-a8de-eea97648d50d,fil-test010,fil-test010,,17180886010,QmT67dQkTE31D7xMNwPHSypbF24AvqBv1B6chZHfH1AvV3.car,QmT67dQkTE31D7xMNwPHSypbF24AvqBv1B6chZHfH1AvV3.car,,https://download.fogmetalabs.com/ipfs/QmRSozhZoHXo1592v2uerZKtFRVhKHdyLmt3QvL7pVXJWF,34091302912,QmT67dQkTE31D7xMNwPHSypbF24AvqBv1B6chZHfH1AvV3,baga6ea4seaqk7sf226oi7bnvljcl3cmdyfoypzoxrom2v4isrpngu2ym4wbsiji,2,bafyreia7hxnv6upyg5eq7xkmhte6fwe7mn6qn4ui4tilkvk24xqsc6yri4,f01163272,2914722,,bafyreibjhlmzyeh4b2jurjpmx45okepxbk4mqn3jey2eo3xwkcuez7un2i,f01337533,2914722,,bafyreiawa7b56gttcpvc3oiha7doldnse3kodkotif2rz2ya2himljpawq,f0137168,2914722,,bafyreifwjs7jh4zqwb5buib4vxih4bvxwqq7xgtmim6ullhpox7t4kvdua,f0143858,2914722,,bafyreigapurq4x2mru3fmeont4kfx5kd6kfbq5cbluj7rfxq4sfklwrtku,f01861488,2914722,,bafyreic62j7jmsveb2amjsxb6mcucc5lhdevwqxn4z3cw5odc6rlkugjsy,f01862564,2914721,,bafyreid2c2i5hiuvknamcic6foiazdlg2ws6ovs6hfngirkim3xx3plseq,f01862564,2914722,,bafyreigdtuiayrkpxywl6zacyd225cwo6s4gwnqfyrvklbl5lb3qf734ju,f02032191,2914722,,bafyreiaax6feaes7of54xmzz6fxscwtaclpeobaonyh3t4niwye6fbfxsq,f02301,2914722,,bafyreibzyi7nfoax6s2xsah3svgbrvo5wejxui4fqqdpwu2aiiaefyihum,f0240185,2914722,,bafyreiev55ud5vhv2xveo6uno437ju2ehsvc4typxu2h4cqhxnpiz6x4za,f03223,2914722,,bafyreignm4i35bv2p5avrlmizybcol25th4n542ifgvznt42yudcjpljw4,f0717969,2914722,
428a8bfd-c79d-4c48-9f92-2e91269811c4,fil-test010,fil-test010,,17180886010,QmP8w9wfuF19qBZd9LTDVNBMPS2wcLr68k749bWLP3sLSk.car,QmP8w9wfuF19qBZd9LTDVNBMPS2wcLr68k749bWLP3sLSk.car,,https://download.fogmetalabs.com/ipfs/QmWr95oXCkHgUGVn4HYNocynDyb1VjM2a3ag6aLcfW4qUg,34091302912,QmP8w9wfuF19qBZd9LTDVNBMPS2wcLr68k749bWLP3sLSk,baga6ea4seaqmcs2exxz3h2tmi7fjxue44dvymqzsg64sf2x6epchooxga66twjy,2,bafyreibrhvdvedbx7jixrufyte5amagzcsgxd5r3yyywj6hyconfupnqqi,f01337533,2914722,,bafyreie2kim63mvhyos3k3unv5eyxungb3hzcinl7e666sdmq4lkslfcti,f0137168,2914722,,bafyreiesidxfwiktvh2nnveowi323xiwtueljwxld4kvompxp2j5hekzde,f0143858,2914722,,bafyreifyq2xzzsaobu343xrmz4d53urbqjkceknsamtcq2z5gddaz5eb7m,f01861488,2914722,,bafyreieanomjyp2bfk4f53bspma3slmaveenuijrhunkx4wcdi55gkdzhy,f01862564,2914722,,bafyreihfip3hgecxoj56whic62zuyyvo56mvewan2dz2uayiasggndmpeu,f01862564,2914722,,bafyreihzhfk5iv3jlue4rjdbzh3jfvjrkic276pewume7qonbbbbahg7oe,f02032191,2914722,,bafyreidjxkufxjicqiyjfkipo3b2jxbndklut4gdp5i37bhmpw7mq7vjdy,f02301,2914722,,bafyreibzs2zzy65flsos3fg6hipm7wgdg3b5flk3s5zc77aaiah5eu5a7u,f0240185,2914722,,bafyreibi7asnl5mcdgzg5zyfchqaxl5ep6w3u5l6rcd2246vvf4ctbrf5m,f03223,2914722,,bafyreigsl3mnv6abuip4gisvypzrvcwfai56xoruqw6gibo2opes6i2v5y,f0717969,2914722,,,,,
0f92f7e1-b23c-4046-80bf-ab707a62abd7,fil-test010,fil-test010,,17180886010,QmVTpEMnph9QGoTA3Jh6PTx1uz3zF5hYRm6PbV9tcAzHcy.car,QmVTpEMnph9QGoTA3Jh6PTx1uz3zF5hYRm6PbV9tcAzHcy.car,,https://download.fogmetalabs.com/ipfs/QmSQpNY3qvRRtQGKYE4N3wdxZXbZt86acnpmn8MLTwpxAT,34091302912,QmVTpEMnph9QGoTA3Jh6PTx1uz3zF5hYRm6PbV9tcAzHcy,baga6ea4seaqesxpoa47uksiu3un5u22277zdhhbiljtj4z45awo57snlt7dsajy,2,bafyreiddkivz2clnkmqglk3iw26z7pp6ii756p6fwuuamo5ut55seybndy,f01163272,2914722,,bafyreicn7dduy4glvbp3kkd37nxjewlmnti6bshpbmadaekdoxxixjc5hy,f01337533,2914722,,bafyreieuxcow3dpfvsqwmxe2h6dpxzrywxw3kerf2adpef3l7bycp5p4de,f0137168,2914722,,bafyreign4gdiim7penqdswhlhnd266zdzjzla7mzahynxd5stznbw5rxty,f0143858,2914722,,bafyreignsbn6zme74uilthdv6ru73peuqkm43irgonyzygejyzz2vsrudm,f01861488,2914722,,bafyreiarsywph3wunidsbm3vwdwhvfuco7h5c5b4ibwzjulb5jxaqswk6m,f01862564,2914721,,bafyreibd4zgnerxjyzi7wngeuu5o5jbzowemip62qetn2m5qwonvnaotam,f01862564,2914722,,bafyreiaml2mg2rtzszn6qkurfwmfcy5wyj244yrtgbkijrwca2jqtiqhsu,f02032191,2914722,,bafyreiepvuio7yfws65jjjfvafcqve4tcxiijcmqef2lisjaizvpsvsqeu,f02301,2914722,,bafyreidmxqnkghkhdnqsrk3nab5ijedflaazl3ryo6tinpwqepaeomdj5m,f0240185,2914722,,bafyreiavxxlawblquf6xxlziruazwlv6i6qcibrjkb4lfby5cinh72dza4,f03223,2914722,,bafyreigmvuqoj5teilwgn3hehywofegwmmy45upvnyjggx5l4szms3g4ni,f0717969,2914722,
8a8b03a5-e73e-4268-95ab-99304f3f312a,fil-test010,fil-test010,,17180886010,QmbW5SD5mxs3f8wf2zxSrk6L7SdX9Y1FDhF6bTyCHLgN82.car,QmbW5SD5mxs3f8wf2zxSrk6L7SdX9Y1FDhF6bTyCHLgN82.car,,https://download.fogmetalabs.com/ipfs/QmemPTbACNAREHwnZjx3yEEhFZ7jCECMYbxtzJZGCLcjSz,34091302912,QmbW5SD5mxs3f8wf2zxSrk6L7SdX9Y1FDhF6bTyCHLgN82,baga6ea4seaqa526eznebotq3e3besxjggg5imzbrjz3l5gu2lfqgwabmc4q2wfi,2,bafyreih6dhn3csgmhhrv3544c77ht7sncoicy52wo7iso2pnnkn6zl2ntq,f01163272,2914722,,bafyreia4zhusaylaml2pupvufonu5w4sdtfs4vdw6taod7lh4ietv5pcym,f01337533,2914722,,bafyreiej6eujpjy2vhl2oa7ak7dbx6msonb5tpwpl45syxqrkdgaobpbd4,f0137168,2914722,,bafyreicf6yhcb26u2ayggpf7qevsudlqugi62iejscpmks6cxyqxza6k6q,f0143858,2914722,,bafyreih6c6xplenkbxxqro6wnkp675ta6f45qfn44us3mqmmteqc6kq6qe,f01861488,2914722,,bafyreicv24zluicpuglc4z7c3wrvzodghhsnizvimxtwtenlqju6tm2zoy,f01862564,2914722,,bafyreiehmqu5nxwu2ms3kmtji63nivdwbw6fef7r2iwrwewud5tbvn45l4,f01862564,2914721,,bafyreibm7l5r2uutawmu24vb2rc4fh333g3m4cksos7zszknt3ggtwcrti,f02032191,2914722,,bafyreibywlubedtovpqx5gghxg67njdvesn3je4cehgsgplf4skngw6d7u,f02301,2914722,,bafyreicep6623zk3uw54xewdrbeg2vdf5w3ox4qrmf3m4npi2z32lzfnfy,f0240185,2914722,,bafyreifk57uoozssaevesw43zvq4cc7emtgihq6htd6gzj6a6hrcmmw5ti,f03223,2914722,,bafyreieggis3rvavm4jfeta4pdedbh7gozcrdcqvugwjjiv2to2cwibqhy,f0717969,2914722,
950e0017-e79f-460a-9912-e2d053cbe624,fil-test010,fil-test010,,17180886010,QmZoeSDawbnfoAjdULzgJfeTXdZuZrkQuGrpJgpYEfFBqk.car,QmZoeSDawbnfoAjdULzgJfeTXdZuZrkQuGrpJgpYEfFBqk.car,,https://download.fogmetalabs.com/ipfs/QmRncCC5NjvXCipFyProeW4CrADjcxi1VjzQyVBZJyJ4PU,34091302912,QmZoeSDawbnfoAjdULzgJfeTXdZuZrkQuGrpJgpYEfFBqk,baga6ea4seaqcwq57ufj5orrst2pnhryszhrp7utlervxbrmuclys7lsakb7dopq,2,bafyreie53s45etvz5ov6yhkzfrvd2vnbcoyl2xxw5kneqyjakf7fdqvmce,f01163272,2914722,,bafyreibiml2rthd7hjstkxj5p4jkbrhx42u7wnyiwg3lv7tnnce26qsrvy,f01337533,2914722,,bafyreiajfjsp6gpqlncdmdesklzyacdr5gac4qtjp4yclsc2fsngpj5zyu,f0137168,2914722,,bafyreicnzfxtuyimdhdvmbar6forg3my2cy66zczv5jwu2ey25ip2proim,f0143858,2914722,,bafyreihxczqmq2hbbqewqwsxl6jfi4b3h3bczvj7pxy4u5jjkohi3gfyxy,f01862564,2914722,,bafyreicaasg2kjl2r3abgxn6yafhhpuwtafxgewwklipfocunpqjjvuk4e,f02032191,2914722,,bafyreihcrpycjvw34epomiatjrvauvwgrwlwaizmj3jnpke5yryma36ngq,f02301,2914722,,bafyreibuqro3oywrjbpj4j7xoahovaeqls5nku3rjikttcv52ykwysmwom,f0240185,2914722,,bafyreibhbx3fqdlxqm5fprlxxbvs5fkflbmzbeuroktteywushoaquvyyq,f03223,2914722,,bafyreifoe7zmqggr27kpxjyrpchn5qcv6ye3jw2hyadn4awg56ciag2p6m,f0717969,2914722,,,,,,,,,
806c938c-dcd1-468e-8357-24d99017aab9,fil-test010,fil-test010,,17180886010,QmVFeMn7myqcSZ73Bdhku7gGzhtRWyWotKXfToU3oQiEB5.car,QmVFeMn7myqcSZ73Bdhku7gGzhtRWyWotKXfToU3oQiEB5.car,,https://download.fogmetalabs.com/ipfs/QmZuJAWazVPvUsotRGq8ur3mxjv93ayjmASrZ3QCKdzTdS,34091302912,QmVFeMn7myqcSZ73Bdhku7gGzhtRWyWotKXfToU3oQiEB5,baga6ea4seaqinfbqny54epv5tynikorxspepysothfnzy2z2ifngybjc4uke6jy,2,bafyreiehx6r2ifr4rdghrqxxzkbmagehyud6phcnipdd26hfgqtyqrskpe,f01163272,2914722,,bafyreifwcno7ls65nxunpamhemxlvdjn5sxkuuvd56l2pavspfovoj5zmq,f01337533,2914722,,bafyreiengeg5htfavq25msxf7eu4b2cv2gjj4bgob4e7uv6n7owvime26q,f0137168,2914722,,bafyreigpqhzprp6qabxbb64stodwlaw3l7lmvgp3yu4t7o6sbt5xb4s54u,f01861488,2914722,,bafyreie7gyemg2o7qayvx5ig3yu2nkgixuo7lgt3cndfjlzy23wy4hybua,f01862564,2914722,,bafyreihk65hn3ncuc5keke2moie5sxlfrzsqt3h6xklyh72rup4nooxmpe,f01862564,2914721,,bafyreigzznxvqey5x3irkvqtusyxfp43h4ncrpwhe3hk7scsd2ml4vvrxu,f02032191,2914722,,bafyreicehd2hpuuwouzbyyixasapop74kqr4jmzeecbr52pv6kiardovsy,f02301,2914722,,bafyreigyjwwu4wg3rbih24idyhgfoe6txrcaukw2la54gnb54ipr227d4u,f03223,2914722,,bafyreiemqpahdxf5cog5go4fwm4qocl3pgdq77o7vz5r3snctejsiknzcu,f0717969,2914722,,,,,,,,,
06d947cc-c74e-4f8a-827e-c790e96ccd6f,fil-test010,fil-test010,,17180886010,QmZJeMLWZEaNUdJg86peh6xFaHFQKyT6T2fJZgk83ptQGL.car,QmZJeMLWZEaNUdJg86peh6xFaHFQKyT6T2fJZgk83ptQGL.car,,https://download.fogmetalabs.com/ipfs/QmdLzuiTHvw5WjwzSCPcbzusxDhEfnRJwFpXuPsc9sYnMU,34091302912,QmZJeMLWZEaNUdJg86peh6xFaHFQKyT6T2fJZgk83ptQGL,baga6ea4seaqak5yfmb4z6edooj7gt3rci5gyumkals6vyo5aipw7yrc345o74pq,2,bafyreicovgizrdiamwrclmu6bgeb5r47veilfl7iz55gk3lq226j62tq7e,f01163272,2914722,,bafyreiafaeox4iu52k7z2y7doznjo4arpxofceo7xu6c2wxg75uc7ol3wu,f01337533,2914722,,bafyreibdgxwdbzseonfg2u7lkg3wtwu5pro7x42zkjwrig2eyni5t64i64,f0137168,2914722,,bafyreieolbdep7pca2ue4ua33pphim4yyn4ybp23eji23kv6va7edy4kwq,f0143858,2914722,,bafyreiallq7jxqlv4nojux7znkp23fpstac6ndmaj7u5hozyxbs6go33pi,f01862564,2914722,,bafyreibv3terlpuujv63e7b7okmwxdye4lsddyspli2uuxl6periopfasu,f01862564,2914721,,bafyreia4ubjuzdrwqwsj4mi632khfbdb5pdlmsnidt3pk3lahgjyj4p3ai,f02032191,2914722,,bafyreiae2k7eyn5txj6hdzqyi4jfkho2rehcacnvay6mivctunim6b4cvq,f02301,2914722,,bafyreicdh6m3yfkapepxobfab5iiav4mdxgjzvdfqdgzc6cuh3bowuwxwe,f0240185,2914722,,bafyreiaos23wkywx6pfx3upd36vronauemsb3i4kuniemtrfax7wgfcgau,f03223,2914722,,bafyreieg63so32s2bauidlikjm4r4g6l2hywvndiiismblmbfsofigwjay,f0717969,2914722,,,,,
